

This file gives the distributed values along the wingspan for a single geometric angle of attack!
WING CHARACTERISTICS:

Angle of Attack (in degrees): 5.0
span --> b = 20.0
sweep angle --> Lambda = 15.0
dihedral angle --> beta = 0.0

root chord --> cRoot = 2.0
tip chord --> cTip = 1.0
taper ratio --> cRoot/cTip = 2.0000

Actual Wing Surface Area --> S_actual = 30.0000
Projected Wing Surface Area (onto xy plane of Wing Axis) --> S_proj = 30.0000
Aspect Ratio --> AR (b^2/S_proj) = 13.3333

reference chord (= cRoot) --> c_ref = 2.0
Spacing Type --> uniform
Evaluation Point Type --> center
HorseShoe Break Point Location --> 0.25
number of Panels --> Nspan = 40



-------------------INTEGRAL VALUES OF AERODYNAMIC COEFFICIENTS----------------------------
     Alpha (in degrees)                CL (-)             CDind (-)            CMy (-)
------------------------------------------------------------------------------------------
          5.000                      0.45424508           0.00468419          -0.35736778



---------------------------------------DISTRIBUTED VALUES OF AERODYNAMIC COEFFICIENTS---------------------------------------------------
     span y (m)                Gamma (m^2/s)                indAOA (in degrees)             cl (-)          cd_ind (-)          cm_y (-)
----------------------------------------------------------------------------------------------------------------------------------------
    -9.75000000                   0.15930959                   -0.49582587               0.15470154         0.00134131        -0.22122366
    -9.25000000                   0.21584899                   -0.46486582               0.20966221         0.00170419        -0.28710850
    -8.75000000                   0.24872147                   -0.39445958               0.24164425         0.00166673        -0.31623886
    -8.25000000                   0.27201260                   -0.34361812               0.26430600         0.00158805        -0.32986876
    -7.75000000                   0.29052383                   -0.31339821               0.28231225         0.00154695        -0.33523546
    -7.25000000                   0.30630152                   -0.29908607               0.29765402         0.00155633        -0.33542735
    -6.75000000                   0.32033285                   -0.29670713               0.31129265         0.00161444        -0.33195179
    -6.25000000                   0.33313054                   -0.30355777               0.32372763         0.00171739        -0.32561900
    -5.75000000                   0.34496951                   -0.31793195               0.33522677         0.00186227        -0.31689956
    -5.25000000                   0.35599336                   -0.33883972               0.34592983         0.00204774        -0.30608616
    -4.75000000                   0.36626541                   -0.36582134               0.35589828         0.00227415        -0.29337333
    -4.25000000                   0.37579379                   -0.39885142               0.36513967         0.00254349        -0.27889966
    -3.75000000                   0.38454279                   -0.43832455               0.37361871         0.00285976        -0.26277188
    -3.25000000                   0.39243596                   -0.48513891               0.38126024         0.00322956        -0.24507974
    -2.75000000                   0.39935325                   -0.54095434               0.38794631         0.00366393        -0.22590633
    -2.25000000                   0.40512276                   -0.60887812               0.39350787         0.00418278        -0.20533684
    -1.75000000                   0.40950804                   -0.69550351               0.39771122         0.00482862        -0.18346807
    -1.25000000                   0.41219679                   -0.81859935               0.40024262         0.00571919        -0.16042307
    -0.75000000                   0.41283031                   -1.05059565               0.40071040         0.00734863        -0.13638304
    -0.25000000                   0.41133504                   -2.15251428               0.39858286         0.01498125        -0.11169097
    0.25000000                   0.41133504                   -2.15251428               0.39858286         0.01498125        -0.11169097
    0.75000000                   0.41283031                   -1.05059565               0.40071040         0.00734863        -0.13638304
    1.25000000                   0.41219679                   -0.81859935               0.40024262         0.00571919        -0.16042307
    1.75000000                   0.40950804                   -0.69550351               0.39771122         0.00482862        -0.18346807
    2.25000000                   0.40512276                   -0.60887812               0.39350787         0.00418278        -0.20533684
    2.75000000                   0.39935325                   -0.54095434               0.38794631         0.00366393        -0.22590633
    3.25000000                   0.39243596                   -0.48513891               0.38126024         0.00322956        -0.24507974
    3.75000000                   0.38454279                   -0.43832455               0.37361871         0.00285976        -0.26277188
    4.25000000                   0.37579379                   -0.39885142               0.36513967         0.00254349        -0.27889966
    4.75000000                   0.36626541                   -0.36582134               0.35589828         0.00227415        -0.29337333
    5.25000000                   0.35599336                   -0.33883972               0.34592983         0.00204774        -0.30608616
    5.75000000                   0.34496951                   -0.31793195               0.33522677         0.00186227        -0.31689956
    6.25000000                   0.33313054                   -0.30355777               0.32372763         0.00171739        -0.32561900
    6.75000000                   0.32033285                   -0.29670713               0.31129265         0.00161444        -0.33195179
    7.25000000                   0.30630152                   -0.29908607               0.29765402         0.00155633        -0.33542735
    7.75000000                   0.29052383                   -0.31339821               0.28231225         0.00154695        -0.33523546
    8.25000000                   0.27201260                   -0.34361812               0.26430600         0.00158805        -0.32986876
    8.75000000                   0.24872147                   -0.39445958               0.24164425         0.00166673        -0.31623886
    9.25000000                   0.21584899                   -0.46486582               0.20966221         0.00170419        -0.28710850
    9.75000000                   0.15930959                   -0.49582587               0.15470154         0.00134131        -0.22122366
